ccp_alpha,cv_mean_accuracy
4.5399929762484854e-05,0.6664781297134238
5.2376331338993834e-05,0.6664781297134238
6.042476494751996e-05,0.6664781297134238
6.970996489486435e-05,0.6664781297134238
8.042197946262196e-05,0.6664781297134238
9.27800607910346e-05,0.6664781297134238
0.00010703715250367488,0.6664781297134238
0.00012348506692509112,0.6664781297134238
0.00014246045785803896,0.6664781297134238
0.0001643517111703352,0.6664781297134238
0.0001896068942269864,0.6664781297134238
0.00021874292687554706,0.6664781297134238
0.00025235616169525687,0.6664781297134238
0.0002911345900651466,0.6664781297134238
0.000335871923883339,0.6664781297134238
0.00038748384116037946,0.6664781297134238
0.0004470267279993099,0.6664781297134238
0.0005157193005709312,0.6664781297134238
0.0005949675496400775,0.6664781297134238
0.0006863935182042527,0.6664781297134238
0.000791868501261662,0.6664781297134238
0.0009135513472372215,0.6664781297134238
0.0010539326450152203,0.6664781297134238
0.0012158857009931638,0.6664781297134238
0.0014027253495485829,0.6664781297134238
0.0016182758006439103,0.6664781297134238
0.0018669489132654966,0.6664781297134238
0.0021538344967874695,0.6664781297134238
0.0024848044885371887,0.6664781297134238
0.0028666331398553165,0.6664781297134238
0.0033071356706033937,0.6664781297134238
0.0038153282300815664,0.6664781297134238
0.004401612438416061,0.6664781297134238
0.005077988285585796,0.6664781297134238
0.005858299745678145,0.6712858220211161
0.006758518133574926,0.6810897435897435
0.007797069003776883,0.6714743589743589
0.008995209282289966,0.6906108597285068
0.01037746235066037,0.6712858220211161
0.01197211998740265,0.6715686274509804
0.01381182144049359,0.6668552036199096
0.015934221483313516,0.6764705882352942
0.01838276112771817,0.6764705882352942
0.021207556769097618,0.6764705882352942
0.02446642596232913,0.6813725490196079
0.028226070824074617,0.700603318250377
0.0325634432831493,0.7054110105580693
0.037567320122730744,0.7054110105580693
0.043340120052170326,0.700603318250377
0.05000000000000001,0.7054110105580694
